X,Y,Number,Name,Latitude,Longitude,District,Public_,Total_docks,ObjectId
-7916449.25419505,5212671.5145918,K32015,1200 Beacon St,42.34414899,-71.11467361,Brookline,Yes,15,1
-7923241.99846632,5215761.83871611,W32006,160 Arsenal,42.36466403,-71.17569387,Watertown,Yes,11,2
-7918062.31703125,5215631.0608375,A32019,175 N Harvard St,42.363796,-71.129164,Boston,Yes,17,3
-7915793.86291939,5218121.39090942,S32035,191 Beacon St,42.38032335,-71.10878613,Somerville,Yes,19,4
-7914259.53190626,5204349.46890637,C32094,2 Hummingbird Lane at Olmsted Green,42.28887,-71.095003,Boston,Yes,17,5
-7915263.88195568,5218223.57754792,S32023,30 Dane St,42.38100143,-71.10402523,Somerville,Yes,15,6
-7915306.93699513,5216686.7909059,M32026,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,Cambridge,Yes,23,7
-7916957.58240461,5201224.51067718,C32106,555 Metropolitan Ave,42.2681,-71.11924,Boston,Yes,18,8
-7915898.37744972,5203884.49655678,C32105,606 American Legion Hwy at Canterbury St,42.28578,-71.109725,Boston,Yes,18,9
-7908122.17334467,5212314.85603592,C32091,645 Summer St,42.34178089,-71.03987017,Boston,Yes,19,10
-7920238.85129996,5217319.55464976,M32054,699 Mt Auburn St,42.37500235,-71.14871614,Cambridge,Yes,25,11
-7911279.4701759,5222810.63495878,V32001,7 Acre Park,42.41143223,-71.06823265,Everett,Yes,15,12
-7915251.63792488,5213493.96340703,B32060,700 Commonwealth Ave.,42.34960945,-71.10391524,Boston,Yes,16,13
-7920841.39810015,5218191.43915247,M32060,700 Huron Ave,42.38078817,-71.15412891,Cambridge,Yes,19,14
-7912604.72314782,5215888.88646318,M32064,75 Binney St,42.36550729,-71.0801376,Cambridge,Yes,19,15
-7919707.2851467,5220122.38249317,M32058,84 Cambridgepark Dr,42.3936,-71.143941,Cambridge,Yes,27,16
-7906345.40963128,5220848.59180053,H32006,855 Broadway,42.39841773,-71.02390923,Chelsea,Yes,11,17
-7915927.6322119,5216407.86452531,M32073,955 Mass Ave,42.36895181,-71.1099878,Cambridge,Yes,19,18
-7909771.79795442,5203919.25583687,C32098,Adams Branch Library,42.286011,-71.054689,Boston,Yes,0,19
-7910058.38553068,5204772.24186421,C32065,Adams St at Lonsdale St,42.29167943,-71.05726346,Boston,Yes,15,20
-7905368.85605871,5218853.53383933,A32054,Addison St at Saratoga St,42.38518147,-71.0151367,Boston,Yes,19,21
-7907166.9330018,5217370.72487295,A32032,Airport T Stop - Bremen St at Brooks St,42.37534193,-71.0312891,Boston,Yes,14,22
-7911358.72408737,5211541.83218866,C32061,Albany St at E. Brookline St,42.33664795,-71.0689446,Boston,Yes,15,23
-7919558.68921122,5220422.10987684,M32046,Alewife MBTA at Steel Place,42.39558846,-71.14260614,Cambridge,Yes,19,24
-7919208.35118896,5220499.97127343,M32033,Alewife Station at Russell Field,42.396105,-71.139459,Cambridge,Yes,23,25
