X,Y,FID,Species,Address,Notes,Season,Inspected,Alive,Leaning,TreeThere,Flag,Info,POINT_X,POINT_Y,Watered,GlobalID,CreationDa,Creator,EditDate,Editor,GlobalID_2,CreationDate,Creator_1,EditDate_1,Editor_1
755665.722850174,2910082.91401567,1,MALUS 'GOLDEN RAINDROPS', ,Cut pit Plant @ T,Spring 2019,Yes, , ,Y, , ,-71.1325959998,42.2328350409,No,{942b5ece-444b-4069-a710-d6f401f2de9b},2021/09/10 00:00:00+00,BostonGIS,2021/09/27 00:00:00+00,BostonGIS,f8d372b9-c3b2-4d95-b24b-af9ceef57d8e,2021/09/27 15:54:42.091+00,BostonGIS,2021/10/25 14:16:15.413+00,BostonGIS
755899.311621845,2910300.75019418,2,ACER GINNALA FLAME, ,Plant @ T ON SIDE,Spring 2019,Yes, , ,Y, , ,-71.1317299996,42.2334300402,No,{0805c76f-54b7-4ce5-851a-d5e18920e99c},2021/09/10 00:00:00+00,BostonGIS,2021/09/27 00:00:00+00,BostonGIS,350e3643-546a-47aa-927a-12f6471d8e3a,2021/09/27 15:54:42.091+00,BostonGIS,2021/10/25 14:16:15.413+00,BostonGIS
755768.007422507,2911233.09478617,3,ACER GINNALA FLAME, ,Plant @ T,Spring 2019,Yes, , ,Y, , ,-71.1322,42.2359900403,No,{f5bc3852-debf-4ea4-bb06-c378ab88ad1d},2021/09/10 00:00:00+00,BostonGIS,2021/09/27 00:00:00+00,BostonGIS,07307eb3-9fe1-4d5f-89d0-8d8238a96072,2021/09/27 15:54:42.091+00,BostonGIS,2021/10/25 14:16:15.413+00,BostonGIS
756071.272892088,2911241.69253801,4,MALUS 'GOLDEN RAINDROPS', ,Cut pit Plant @ T,Spring 2019,Yes, , ,Y, , ,-71.1310800002,42.2360100397,No,{0b3d3bee-e984-40e7-a8ae-d3b19b9185eb},2021/09/10 00:00:00+00,BostonGIS,2021/09/27 00:00:00+00,BostonGIS,77737dc0-8d93-4b32-8560-1f05adb48aa3,2021/09/27 15:54:42.091+00,BostonGIS,2021/10/25 14:16:15.413+00,BostonGIS
756098.021854341,2911318.33641359,5,ACER RUBRUM 'FRANK JR', ,Plant @ T,Spring 2019,Yes, , ,Y, , ,-71.1309799998,42.2362200403,No,{9a45c98e-ec93-4bb3-b69b-383024820d3e},2021/09/10 00:00:00+00,BostonGIS,2021/09/27 00:00:00+00,BostonGIS,5acf1ee5-0553-4208-9477-988a8a836601,2021/09/27 15:54:42.091+00,BostonGIS,2021/10/25 14:16:15.413+00,BostonGIS
756098.021854341,2911318.33641359,6,ACER RUBRUM 'FRANK JR', ,Plant @ T,Spring 2019,Yes, , ,Y, , ,-71.1309799998,42.2362200403,No,{ae8eb668-4ebb-4ee7-b0d6-0d0ca55320f2},2021/09/10 00:00:00+00,BostonGIS,2021/09/27 00:00:00+00,BostonGIS,c54eead9-ac90-48ca-b3b6-d9726152d930,2021/09/27 15:54:42.091+00,BostonGIS,2021/10/25 14:16:15.413+00,BostonGIS
756098.021854341,2911318.33641359,7,ACER RUBRUM 'FRANK JR', ,Plant @ T,Spring 2019,Yes, , ,Y, , ,-71.1309799998,42.2362200403,No,{37e53bdd-dd7a-40ab-9f7e-cce6a2eafcb9},2021/09/10 00:00:00+00,BostonGIS,2021/09/27 00:00:00+00,BostonGIS,cc8641a7-f392-40a0-a0af-e4dc3f501345,2021/09/27 15:54:42.091+00,BostonGIS,2021/10/25 14:16:15.413+00,BostonGIS
757635.672978505,2912669.7448,8,MALUS 'GOLDEN RAINDROPS', ,Plant @ T,Fall 2018,Yes, , ,Y, , ,-71.1252799997,42.2399100397,No,{2aab5f83-31cb-4752-96f8-70f5752ff218},2021/09/10 00:00:00+00,BostonGIS,2021/09/27 00:00:00+00,BostonGIS,fc65f371-18da-45c8-8c1c-2337cadd5e1f,2021/09/27 15:54:42.091+00,BostonGIS,2021/10/25 14:16:15.413+00,BostonGIS
758291.454147264,2913175.53315851,9,KOELREUTERIA PANICULATA, ,Plant @ T,Spring 2019,Yes, , ,Y, , ,-71.1228500003,42.2412900403,No,{6d59f4cc-cc1d-4ce9-8101-6a75e1e01ed1},2021/09/10 00:00:00+00,BostonGIS,2021/09/27 00:00:00+00,BostonGIS,100b2513-03dc-4942-b6d3-a99fb043fd3c,2021/09/27 15:54:42.091+00,BostonGIS,2021/10/25 14:16:15.413+00,BostonGIS
758030.157425761,2913480.49153809,10,ACER CAMPESTRE 'QUEEN ELIZABETH', ,Plant @ T,Fall 2018,Yes, , ,Y, , ,-71.1238100002,42.2421300401,No,{e72f0336-8f6b-44b6-8b1b-2e30ecf2c3a8},2021/09/10 00:00:00+00,BostonGIS,2021/09/27 00:00:00+00,BostonGIS,233ccb5c-dbfd-4399-be70-78fe2f7437bc,2021/09/27 15:54:42.091+00,BostonGIS,2021/10/25 14:16:15.413+00,BostonGIS
